
Posicion: 0	Valor Original: 42	Valor Procesado: 42
Posicion: 70	Valor Original: 162	Valor Procesado: 162
Posicion: 71	Valor Original: 91	Valor Procesado: 239
Posicion: 72	Valor Original: 81	Valor Procesado: 12
Posicion: 73	Valor Original: 100	Valor Procesado: 50
Posicion: 74	Valor Original: 146	Valor Procesado: 257
Posicion: 75	Valor Original: 51	Valor Procesado: 287
Posicion: 76	Valor Original: 217	Valor Procesado: 332
Posicion: 77	Valor Original: 247	Valor Procesado: 347
Posicion: 78	Valor Original: 169	Valor Procesado: 107
Posicion: 79	Valor Original: 234	Valor Procesado: 234
Posicion: 80	Valor Original: 250	Valor Procesado: 250
Posicion: 81	Valor Original: 129	Valor Procesado: 5
Posicion: 82	Valor Original: 115	Valor Procesado: 38
Posicion: 83	Valor Original: 65	Valor Procesado: 201
Posicion: 84	Valor Original: 142	Valor Procesado: 63
Posicion: 85	Valor Original: 111	Valor Procesado: 10
Posicion: 86	Valor Original: 122	Valor Procesado: 131
Posicion: 87	Valor Original: 237	Valor Procesado: 374
Posicion: 88	Valor Original: 162	Valor Procesado: 37
Posicion: 89	Valor Original: 44	Valor Procesado: 44
Posicion: 90	Valor Original: 115	Valor Procesado: 115
Posicion: 91	Valor Original: 55	Valor Procesado: 55
Posicion: 92	Valor Original: 147	Valor Procesado: 147
Posicion: 93	Valor Original: 104	Valor Procesado: 104
Posicion: 94	Valor Original: 183	Valor Procesado: 183
Posicion: 95	Valor Original: 119	Valor Procesado: 119
Posicion: 96	Valor Original: 54	Valor Procesado: 54
Posicion: 97	Valor Original: 43	Valor Procesado: 43
Posicion: 98	Valor Original: 235	Valor Procesado: 235
Posicion: 99	Valor Original: 222	Valor Procesado: 222
